Nimi,Kategooria
1,NovelAI,Kirjutamine
2,Supawrite,Kirjutamine
367,Hugging Face,Kõne
68,AI HUB Discord,Kõne
69,Fliki,KõnesayPass,Kirjutamine
4,Copyter,Kirjutamine
5,RewriteBar,Kirjutamine
6,Humanize AI,Kirjutamine
7,WebNovel AI,Kirjutamine
8,First Book AI,Kirjutamine
9,WriteHybrid,Kirjutamine
10,BookScribi,Kirjutamine
11,MyStylus,Kirjutamine
12,AutoWrite App,Kirjutamine
13,Paraphrasing Tool,Kirjutamine
15,Gemini 3,Viimased Uuendused
16,Seedream 4.0,Viimased Uuendused
17,Nano-banana (Gemini 2.5),Viimased Uuendused
18,FLUX.1,Viimased Uuendused
19,Wan Animate,Viimased Uuendused
20,DeepSeek R1,Viimased Uuendused
21,Ideogram,Viimased Uuendused
22,Google Veo 3,Viimased Uuendused
23,Kimi K2 Thinking,Viimased Uuendused
24,HiDream-I1,Viimased Uuendused
25,MiniMax by Hailuo,Viimased Uuendused
26,Pika,Viimased Uuendused
27,Hailuo 02,Viimased Uuendused
28,Suno AI,Viimased Uuendused
29,Stable Diffusion XL,Viimased Uuendused
30,Artlist,Video
31,Wan 2.2,Video
32,Kling AI,Video
33,Alibaba Wan 2.1,Video
34,Hunyuan Video,Video
35,FramePack,Video
36,Kling 2.5,Video
37,Wan 2.5,Video
38,Sora,Video
39,Character AI,Tutvumine
40,JanitorAI,Tutvumine
41,VirtualGF,Tutvumine
42,Replika,Tutvumine
43,Avtaar.ai,Tutvumine
44,Dittin AI,Tutvumine
45,YourMove,Tutvumine
46,CraveU AI,Tutvumine
47,makebelieve,Tutvumine
48,MagicVest,Investeerimine
49,Edge Hound,Investeerimine
50,StockGPT,Investeerimine
51,Avanzai,Investeerimine
52,Incite AI,Investeerimine
53,BeeBeeAI,Investeerimine
54,Fynt,Investeerimine
55,Tradt,Investeerimine
56,hoopsAI,Investeerimine
57,IndexTTS 2,Kõne
58,F5-TTS,Kõne
59,RVC Voice Conversion,Kõne
60,Dia by Nari,Kõne
61,W-Okada Voice Changer,Kõne
62,Kits AI,Kõne
63,Chatterbox,Kõne
64,Eleven Labs,Kõne
65,Verbatik,Kõne
66,Adobe Speech Enhancer,Kõne
67,Hugging Face,Kõne
69,Fliki,Kõne
70,Monica,Automatiseerimine
71,Manus,Automatiseerimine
72,Dealism,Automatiseerimine
73,Splutter AI,Automatiseerimine
74,OpenAI Operator,Automatiseerimine
75,BrainyBear,Automatiseerimine
76,Hexoloop,Automatiseerimine
77,MyPersonas,Automatiseerimine
78,RoboWork,Automatiseerimine
79,InboxPilot,Automatiseerimine
80,Qwen3,Automatiseerimine
81,BAGEL,Automatiseerimine
82,Shopify Magic,E-kaubandus
83,Copy.ai,E-kaubandus
84,Jasper,E-kaubandus
85,Aidaptive,E-kaubandus
86,Prisync,E-kaubandus
87,Phrasee,E-kaubandus
88,Clerk.io,E-kaubandus
89,Octane AI,E-kaubandus
90,Klevu,E-kaubandus
91,Vue.ai,E-kaubandus
92,Nosto,E-kaubandus
93,DoMyShoot,E-kaubandus
94,Nano Banana Pro,Viimased Uuendused
95,Perplexity,Viimased Uuendused
96,TensorArt,Viimased Uuendused